sample_index,last_5_mult_1,last_5_mult_2,last_5_mult_3,last_5_mult_4,last_5_mult_5,last_10_mult_1,last_10_mult_2,last_10_mult_3,last_10_mult_4,last_10_mult_5,last_10_mult_6,last_10_mult_7,last_10_mult_8,last_10_mult_9,last_10_mult_10,last_20_mult_1,last_20_mult_2,last_20_mult_3,last_20_mult_4,last_20_mult_5,last_20_mult_6,last_20_mult_7,last_20_mult_8,last_20_mult_9,last_20_mult_10,last_20_mult_11,last_20_mult_12,last_20_mult_13,last_20_mult_14,last_20_mult_15,last_20_mult_16,last_20_mult_17,last_20_mult_18,last_20_mult_19,last_20_mult_20,moving_average_5,moving_average_10,moving_average_20,standard_deviation_5,standard_deviation_10,standard_deviation_20,variance_20,max_20,min_20,median_20,volatility,range_20,skewness,kurtosis,entropy,very_low_count_10,low_count_10,medium_count_10,high_count_10,very_high_count_10,freq_very_low,freq_low,freq_medium,freq_high,freq_very_high,streak_low,streak_high,time_since_high,time_since_very_high,streak_medium,streak_very_low,momentum_5,momentum_10,ema_5,ema_10,slope_5,slope_10,label,category
0,0.120275,0.026539,0.172196,0.180864,0.390518,0.234174,0.104758,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.199837,0.099329,0.022661,0.126427,0.156934,0.113943,0.556135,0.061926,0.372146,0.160073,0.234174,0.104758,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.02684,0.19066,0.11166,0.086432,1.0,1.0,1.0,1.0,0.0111,0.02075,0.650449,1.0,1.0,1.0,0.899415,0.1,0.3,0.4,0.1,0.1,0.15,0.3,0.35,0.15,0.05,0.0,0.05,0.0,0.35,0.0,0.0,-0.759627,0.707505,0.033072,0.102735,0.1954,-0.973406,2,MEDIUM
1,0.026539,0.172196,0.180864,0.390518,0.180864,0.104758,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.099329,0.022661,0.126427,0.156934,0.113943,0.556135,0.061926,0.372146,0.160073,0.234174,0.104758,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.02796,0.19002,0.111555,0.084067,1.0,1.0,1.0,1.0,0.0111,0.02075,0.651106,1.0,1.0,1.0,0.899415,0.1,0.3,0.4,0.1,0.1,0.15,0.3,0.35,0.15,0.05,0.0,0.0,0.05,0.4,0.05,0.0,-0.749361,0.703375,0.028911,0.086463,0.1234,-1.0,4,VERY_HIGH
2,0.172196,0.180864,0.390518,0.180864,0.6981,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.022661,0.126427,0.156934,0.113943,0.556135,0.061926,0.372146,0.160073,0.234174,0.104758,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.0755,0.2133,0.123215,0.439854,1.0,1.0,1.0,1.0,0.0111,0.021,0.590273,1.0,1.0,1.0,0.940332,0.1,0.2,0.4,0.1,0.2,0.15,0.25,0.35,0.15,0.1,0.0,0.05,0.0,0.0,0.0,0.0,-0.38725,0.73112,0.103696,0.341079,0.9076,-1.0,1,LOW
3,0.180864,0.390518,0.180864,0.6981,0.100699,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.126427,0.156934,0.113943,0.556135,0.061926,0.372146,0.160073,0.234174,0.104758,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.07426,0.04585,0.123455,0.443775,0.344731,1.0,1.0,1.0,0.0113,0.021,0.589008,1.0,1.0,1.0,0.91567,0.1,0.3,0.4,0.1,0.1,0.1,0.3,0.35,0.15,0.1,0.05,0.0,0.05,0.05,0.0,0.0,-0.398485,-0.62861,0.074549,0.056771,0.3488,0.215382,0,VERY_LOW
4,0.390518,0.180864,0.6981,0.100699,0.086593,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.156934,0.113943,0.556135,0.061926,0.372146,0.160073,0.234174,0.104758,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.07264,0.04581,0.123305,0.448721,0.344821,1.0,1.0,1.0,0.0113,0.021,0.589796,1.0,1.0,1.0,0.940332,0.2,0.2,0.4,0.1,0.1,0.15,0.25,0.35,0.15,0.1,0.1,0.0,0.1,0.1,0.0,0.05,-0.410892,-0.628482,0.059591,0.049938,-0.1962,0.140885,0,VERY_LOW
5,0.180864,0.6981,0.100699,0.086593,0.0,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.113943,0.556135,0.061926,0.372146,0.160073,0.234174,0.104758,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.06256,0.0447,0.122775,0.466562,0.347203,1.0,1.0,1.0,0.01,0.021,0.592598,1.0,1.0,1.0,0.959639,0.3,0.2,0.3,0.1,0.1,0.2,0.25,0.3,0.15,0.1,0.15,0.0,0.15,0.15,0.0,0.1,-0.49045,-0.635919,0.038136,0.042179,-0.5202,0.068873,2,MEDIUM
6,0.6981,0.100699,0.086593,0.0,0.225893,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.556135,0.061926,0.372146,0.160073,0.234174,0.104758,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.06362,0.04579,0.123345,0.464431,0.345441,1.0,1.0,1.0,0.01,0.0216,0.589604,1.0,1.0,1.0,0.948182,0.3,0.1,0.4,0.1,0.1,0.2,0.2,0.35,0.15,0.1,0.0,0.0,0.2,0.2,0.05,0.0,-0.484211,-0.628765,0.064619,0.038835,-0.8946,0.014582,2,MEDIUM
7,0.100699,0.086593,0.0,0.225893,0.254601,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.061926,0.372146,0.160073,0.234174,0.104758,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.02028,0.04789,0.118485,0.04258,0.341614,1.0,1.0,1.0,0.01,0.0216,0.614691,1.0,1.0,1.0,0.913865,0.2,0.1,0.5,0.1,0.1,0.2,0.2,0.4,0.1,0.1,0.0,0.0,0.25,0.25,0.1,0.0,-0.828839,-0.595814,0.023149,0.039099,0.0924,-0.046121,0,VERY_LOW
8,0.086593,0.0,0.225893,0.254601,0.026539,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.372146,0.160073,0.234174,0.104758,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.01936,0.04681,0.118385,0.045817,0.344028,1.0,1.0,1.0,0.01,0.0216,0.615259,1.0,1.0,1.0,0.913865,0.3,0.1,0.4,0.1,0.1,0.2,0.2,0.4,0.1,0.1,0.05,0.0,0.3,0.3,0.0,0.05,-0.836466,-0.604595,0.019068,0.034166,0.0302,-0.120424,1,LOW
9,0.0,0.225893,0.254601,0.026539,0.112655,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.160073,0.234174,0.104758,1.0,0.092346,0.162141,0.120275,0.026539,0.172196,0.180864,0.390518,0.180864,0.6981,0.100699,0.086593,0.0,0.225893,0.254601,0.026539,0.112655,0.01974,0.04619,0.11645,0.045043,0.345224,1.0,1.0,1.0,0.01,0.021,0.626224,1.0,1.0,1.0,0.879203,0.3,0.2,0.3,0.1,0.1,0.2,0.25,0.4,0.05,0.1,0.1,0.0,0.35,0.35,0.0,0.0,-0.830485,-0.603349,0.017667,0.036036,-0.0068,-0.184909,2,MEDIUM
